tierId,tradeId,asset,side,notionalUsd,leverage,marginUsd,entryDate,exitDate,holdDays,spotAtEntry,spotAtExit,worstAdverseSpot,perpReturnPct,perpMaxAdverseReturnPct,rvolEntry,hedgeable,K_long,K_short,spreadWidth,protectedNotionalUsd,hedgeCostUsd,feePctOfNotional,perpPnlUsd,perpLiquidatedUnhedged,hedgePayoutAtMaxDrawdownUsd,hedgePayoutAtExitUsd,totalUserFeeUsd,netUserPnlUsd,drawdownReductionUsd,drawdownReductionPctOfMargin,liquidationPrevented,atticusNetMargin
single_premium_7d,T0011,BTC,long,2500,10,250,2025-12-28,2025-12-31,3,87877.29,87497.94,86675,-0.43,-1.37,0.38,YES,86119.74,80847.11,5272.64,6250,74.12,4.24,-10.79,NO,0,0,48.4,-59.19,0,0,NO,14.52
day_rate_14d,T0011,BTC,long,2500,10,250,2025-12-28,2025-12-31,3,87877.29,87497.94,86675,-0.43,-1.37,0.38,YES,86119.74,80847.11,5272.64,10000,159.8,4.57,-10.79,NO,0,0,48.92,-59.71,0,0,NO,8.4
single_premium_7d,T0012,BTC,short,50000,5,10000,2024-04-06,2024-04-13,7,68919.89,64024.77,72777,7.1,-5.6,0.71,YES,70298.29,74433.48,4135.19,125000,2274.53,6.5,3551.31,NO,4495.64,0,3249.32,301.99,2798.26,27.98,NO,974.8
day_rate_14d,T0012,BTC,short,50000,5,10000,2024-04-06,2024-04-13,7,68919.89,64024.77,72777,7.1,-5.6,0.71,YES,70298.29,74433.48,4135.19,200000,4043.37,5.78,3551.31,NO,7193.02,0,2888.12,663.19,2798.26,27.98,NO,765.35
single_premium_7d,T0013,BTC,short,1000,50,20,2026-01-12,2026-01-15,3,91188.09,95587.65,97963.62,-4.82,-7.43,0.26,YES,93011.85,98483.14,5471.29,2500,19,2.71,-20,YES,135.76,70.62,0,22.37,74.3,100,YES,-11.67
day_rate_14d,T0013,BTC,short,1000,50,20,2026-01-12,2026-01-15,3,91188.09,95587.65,97963.62,-4.82,-7.43,0.26,YES,93011.85,98483.14,5471.29,4000,46.93,3.35,-20,YES,217.21,112.99,14.37,50.37,74.3,100,YES,-1.34
single_premium_7d,T0014,BTC,long,2500,10,250,2025-08-01,2025-08-02,1,113248.73,112542.74,112000,-0.62,-1.1,0.26,YES,110983.76,104188.83,6794.92,6250,44.61,2.55,-15.58,NO,0,0,11.84,-27.42,0,0,NO,3.55
day_rate_14d,T0014,BTC,long,2500,10,250,2025-08-01,2025-08-02,1,113248.73,112542.74,112000,-0.62,-1.1,0.26,YES,110983.76,104188.83,6794.92,10000,111.99,3.2,-15.58,NO,0,0,11.43,-27.01,0,0,NO,-1.77
single_premium_7d,T0015,BTC,long,25000,10,2500,2025-12-20,2026-01-19,30,88324,92559.66,86350,4.8,-2.23,0.41,YES,86557.52,81258.08,5299.44,62500,822.51,4.7,1198.9,NO,146.85,0,1175.01,23.88,146.85,5.87,NO,352.5
day_rate_14d,T0015,BTC,long,25000,10,2500,2025-12-20,2026-01-19,30,88324,92559.66,86350,4.8,-2.23,0.41,YES,86557.52,81258.08,5299.44,100000,1717.85,4.91,1198.9,NO,234.95,0,2454.07,-1255.17,234.95,9.4,NO,736.22
single_premium_7d,T0016,BTC,long,1000,3,333.3333333333333,2024-08-01,2024-08-08,7,65288.18,61705.58,49050.01,-5.49,-24.87,0.47,YES,63982.42,60065.13,3917.29,2500,37.14,5.31,-54.87,NO,150,87.18,53.05,-20.74,150,45,NO,11.56
day_rate_14d,T0016,BTC,long,1000,3,333.3333333333333,2024-08-01,2024-08-08,7,65288.18,61705.58,49050.01,-5.49,-24.87,0.47,YES,63982.42,60065.13,3917.29,4000,74.76,5.34,-54.87,NO,240,139.49,53.4,31.22,240,72,NO,9.05
single_premium_7d,T0017,ETH,short,500,10,50,2024-02-22,2024-02-29,7,2969.77,3341.78,3521.99,-12.53,-18.59,0.37,YES,3029.17,3207.35,178.19,1250,14.74,4.21,-50,YES,75,75,21.05,-8.69,75,100,YES,2.57
day_rate_14d,T0017,ETH,short,500,10,50,2024-02-22,2024-02-29,7,2969.77,3341.78,3521.99,-12.53,-18.59,0.37,YES,3029.17,3207.35,178.19,2000,31.08,4.44,-50,YES,120,120,22.2,35.17,92.97,100,YES,0.66
single_premium_7d,T0018,ETH,long,10000,10,1000,2024-10-28,2024-10-29,1,2565.66,2637.85,2468.81,2.81,-3.77,0.49,YES,2514.35,2360.41,153.94,25000,381.15,5.44,281.37,NO,443.71,0,101.12,180.25,377.49,37.75,NO,30.34
day_rate_14d,T0018,ETH,long,10000,10,1000,2024-10-28,2024-10-29,1,2565.66,2637.85,2468.81,2.81,-3.77,0.49,YES,2514.35,2360.41,153.94,40000,761.33,5.44,281.37,NO,709.94,0,77.69,203.68,377.49,37.75,NO,-12.04
single_premium_7d,T0019,BTC,short,2500,5,500,2025-12-17,2025-12-20,3,86209.77,88324,90336.36,-2.45,-4.79,0.45,YES,87933.97,93106.55,5172.59,6250,87.18,4.98,-61.31,NO,174.17,28.28,56.93,-89.97,119.67,23.93,NO,17.08
day_rate_14d,T0019,BTC,short,2500,5,500,2025-12-17,2025-12-20,3,86209.77,88324,90336.36,-2.45,-4.79,0.45,YES,87933.97,93106.55,5172.59,10000,172.51,4.93,-61.31,NO,278.67,45.24,52.81,-68.88,119.67,23.93,NO,9.07
single_premium_7d,T0020,BTC,short,2500,3,833.3333333333334,2024-09-20,2024-10-04,14,63210.69,62090.71,66550,1.77,-5.28,0.49,YES,64474.9,68267.55,3792.64,6250,93.18,5.32,44.3,NO,205.18,0,133.12,-88.82,132.07,15.85,NO,39.93
day_rate_14d,T0020,BTC,short,2500,3,833.3333333333334,2024-09-20,2024-10-04,14,63210.69,62090.71,66550,1.77,-5.28,0.49,YES,64474.9,68267.55,3792.64,10000,179.68,5.13,44.3,NO,328.28,0,256.69,-212.39,132.07,15.85,NO,77.01
single_premium_7d,T0021,BTC,short,5000,20,250,2024-05-02,2024-05-16,14,59071.89,65252.18,66772.83,-10.46,-13.04,0.51,YES,60253.33,63797.64,3544.31,12500,190.61,5.45,-250,YES,750,750,272.3,-45.42,651.83,100,YES,44.19
day_rate_14d,T0021,BTC,short,5000,20,250,2024-05-02,2024-05-16,14,59071.89,65252.18,66772.83,-10.46,-13.04,0.51,YES,60253.33,63797.64,3544.31,20000,364.32,5.2,-250,YES,1200,1200,520.46,156.43,651.83,100,YES,96.14
single_premium_7d,T0022,ETH,long,1000,3,333.3333333333333,2025-07-14,2025-07-21,7,3014.53,3763.75,2933,24.85,-2.7,0.59,YES,2954.24,2773.37,180.87,2500,43.99,6.28,248.54,NO,17.61,0,62.85,185.69,17.61,5.28,NO,18.85
day_rate_14d,T0022,ETH,long,1000,3,333.3333333333333,2025-07-14,2025-07-21,7,3014.53,3763.75,2933,24.85,-2.7,0.59,YES,2954.24,2773.37,180.87,4000,84.24,6.02,248.54,NO,28.18,0,60.17,188.36,27.05,8.11,NO,15.95
single_premium_7d,T0023,BTC,long,2500,3,833.3333333333334,2026-03-21,2026-03-22,1,68912.02,67844.94,67332.05,-1.55,-2.29,0.52,YES,67533.78,63399.06,4134.72,6250,100.41,5.74,-38.71,NO,18.3,0,26.64,-65.35,18.3,2.2,NO,7.99
day_rate_14d,T0023,BTC,long,2500,3,833.3333333333334,2026-03-21,2026-03-22,1,68912.02,67844.94,67332.05,-1.55,-2.29,0.52,YES,67533.78,63399.06,4134.72,10000,197.46,5.64,-38.71,NO,29.27,0,20.15,-58.86,29.27,3.51,NO,-3.12
single_premium_7d,T0024,BTC,short,1000,5,200,2024-07-14,2024-07-17,3,60808.42,64085.81,66139,-5.39,-8.77,0.42,YES,62024.59,65673.09,3648.51,2500,33.13,4.73,-53.9,NO,150,84.74,0,30.85,87.66,43.83,NO,-18.44
day_rate_14d,T0024,BTC,short,1000,5,200,2024-07-14,2024-07-17,3,60808.42,64085.81,66139,-5.39,-8.77,0.42,YES,62024.59,65673.09,3648.51,4000,66.85,4.78,-53.9,NO,240,135.59,20.47,61.23,87.66,43.83,NO,-0.64
single_premium_7d,T0025,BTC,long,2500,10,250,2024-08-21,2024-08-24,3,61163.28,64179.63,58793.89,4.93,-3.87,0.65,YES,59940.01,56270.22,3669.8,6250,117.61,6.72,123.29,NO,117.12,0,76.81,46.48,96.85,38.74,NO,23.04
day_rate_14d,T0025,BTC,long,2500,10,250,2024-08-21,2024-08-24,3,61163.28,64179.63,58793.89,4.93,-3.87,0.65,YES,59940.01,56270.22,3669.8,10000,221,6.31,123.29,NO,187.39,0,67.65,55.64,96.85,38.74,NO,11.61
single_premium_7d,T0026,ETH,long,5000,10,500,2025-03-31,2025-04-03,3,1822.03,1816.36,1750,-0.31,-3.95,0.96,YES,1785.59,1676.27,109.32,12500,285.24,8.15,-15.56,NO,244.16,0,186.28,-201.84,197.66,39.53,NO,55.88
day_rate_14d,T0026,ETH,long,5000,10,500,2025-03-31,2025-04-03,3,1822.03,1816.36,1750,-0.31,-3.95,0.96,YES,1785.59,1676.27,109.32,20000,510.48,7.29,-15.56,NO,390.66,0,156.27,-171.83,197.66,39.53,NO,26.83
single_premium_7d,T0027,BTC,long,1000,5,200,2024-05-12,2024-05-15,3,61453.02,66244.69,60576.05,7.8,-1.43,0.52,YES,60223.96,56536.78,3687.18,2500,40.11,5.73,77.97,NO,0,0,26.19,51.78,0,0,NO,7.86
day_rate_14d,T0027,BTC,long,1000,5,200,2024-05-12,2024-05-15,3,61453.02,66244.69,60576.05,7.8,-1.43,0.52,YES,60223.96,56536.78,3687.18,4000,78.91,5.64,77.97,NO,0,0,24.16,53.82,0,0,NO,4.15
single_premium_7d,T0028,BTC,short,2500,3,833.3333333333334,2023-12-08,2023-12-09,1,44192.87,43723.25,44754.99,1.06,-1.27,0.49,YES,45076.73,47728.3,2651.57,6250,92.69,5.3,26.57,NO,0,0,24.59,1.98,0,0,NO,7.38
day_rate_14d,T0028,BTC,short,2500,3,833.3333333333334,2023-12-08,2023-12-09,1,44192.87,43723.25,44754.99,1.06,-1.27,0.49,YES,45076.73,47728.3,2651.57,10000,179.1,5.12,26.57,NO,0,0,18.28,8.29,0,0,NO,-2.83
single_premium_7d,T0029,BTC,long,5000,5,1000,2026-01-09,2026-01-16,7,90515.45,95504,89583.58,5.51,-1.03,0.27,YES,88705.14,83274.21,5430.93,12500,95.9,2.74,275.56,NO,0,0,137,138.56,0,0,NO,41.1
day_rate_14d,T0029,BTC,long,5000,5,1000,2026-01-09,2026-01-16,7,90515.45,95504,89583.58,5.51,-1.03,0.27,YES,88705.14,83274.21,5430.93,20000,235.74,3.37,275.56,NO,0,0,168.39,107.18,0,0,NO,44.62
single_premium_7d,T0030,ETH,long,1000,20,50,2025-11-07,2025-11-10,3,3433.71,3566.49,3191.02,3.87,-7.07,0.84,YES,3365.04,3159.01,206.02,2500,53.85,7.69,-50,YES,126.7,0,35.17,3.5,70.68,100,YES,10.55
day_rate_14d,T0030,ETH,long,1000,20,50,2025-11-07,2025-11-10,3,3433.71,3566.49,3191.02,3.87,-7.07,0.84,YES,3365.04,3159.01,206.02,4000,97.67,6.98,-50,YES,202.71,0,29.9,8.77,70.68,100,YES,5.13
single_premium_7d,T0031,ETH,long,1000,10,100,2024-05-01,2024-05-08,7,2968.12,2972.82,2814.12,0.16,-5.19,0.68,YES,2908.76,2730.67,178.09,2500,47.99,6.86,1.58,NO,79.71,0,68.55,-66.97,51.88,51.88,NO,20.57
day_rate_14d,T0031,ETH,long,1000,10,100,2024-05-01,2024-05-08,7,2968.12,2972.82,2814.12,0.16,-5.19,0.68,YES,2908.76,2730.67,178.09,4000,89.68,6.41,1.58,NO,127.54,0,64.06,-62.47,51.88,51.88,NO,16.98
single_premium_7d,T0032,BTC,long,250000,10,25000,2025-11-09,2025-11-23,14,104694.95,86808.28,80524.65,-17.08,-23.09,0.4,YES,102601.05,96319.35,6281.7,625000,7926.02,4.53,-25000,YES,37500,37500,11322.89,-16534.29,37500,100,YES,1521.87
day_rate_14d,T0032,BTC,long,250000,10,25000,2025-11-09,2025-11-23,14,104694.95,86808.28,80524.65,-17.08,-23.09,0.4,YES,102601.05,96319.35,6281.7,1000000,16742.24,4.78,-25000,YES,60000,60000,23917.48,-6628.88,57716.01,100,YES,4175.24
single_premium_7d,T0033,ETH,long,500,5,100,2025-06-16,2025-06-19,3,2545.27,2521.52,2454,-0.93,-3.59,0.58,YES,2494.36,2341.65,152.72,1250,21.69,6.2,-4.67,NO,19.82,0,14.16,-18.83,17.93,17.93,NO,4.25
day_rate_14d,T0033,ETH,long,500,5,100,2025-06-16,2025-06-19,3,2545.27,2521.52,2454,-0.93,-3.59,0.58,YES,2494.36,2341.65,152.72,2000,41.7,5.96,-4.67,NO,31.72,0,12.77,-17.43,17.93,17.93,NO,2.19
single_premium_7d,T0034,ETH,short,25000,10,2500,2025-11-18,2025-11-25,7,3121.74,2958.17,3168.98,5.24,-1.51,0.67,YES,3184.17,3371.48,187.3,62500,1106.68,6.32,1309.93,NO,0,0,1580.97,-271.04,0,0,NO,474.29
day_rate_14d,T0034,ETH,short,25000,10,2500,2025-11-18,2025-11-25,7,3121.74,2958.17,3168.98,5.24,-1.51,0.67,YES,3184.17,3371.48,187.3,100000,1990.52,5.69,1309.93,NO,0,0,1421.8,-111.88,0,0,NO,376.78
single_premium_7d,T0035,BTC,long,2500,20,125,2024-09-02,2024-09-09,7,59139.83,57053.9,52530,-3.53,-11.18,0.68,YES,57957.03,54408.64,3548.39,6250,120.27,6.87,-125,YES,375,95.44,171.82,-164.55,279.42,100,YES,46.77
day_rate_14d,T0035,BTC,long,2500,20,125,2024-09-02,2024-09-09,7,59139.83,57053.9,52530,-3.53,-11.18,0.68,YES,57957.03,54408.64,3548.39,10000,224.61,6.42,-125,YES,600,152.71,160.44,-95.9,279.42,100,YES,40.5
single_premium_7d,T0036,ETH,short,2500,20,125,2024-09-16,2024-09-17,1,2295.21,2342.1,2394,-2.04,-4.3,0.59,YES,2341.11,2478.83,137.71,6250,104.56,5.98,-51.07,NO,144.01,2.68,27.74,-76.13,107.6,86.08,NO,8.32
day_rate_14d,T0036,ETH,short,2500,20,125,2024-09-16,2024-09-17,1,2295.21,2342.1,2394,-2.04,-4.3,0.59,YES,2341.11,2478.83,137.71,10000,192.57,5.5,-51.07,NO,230.42,4.3,19.65,-66.43,107.6,86.08,NO,-3.05
single_premium_7d,T0037,BTC,long,5000,20,250,2025-12-11,2026-01-10,30,92542,90385.54,84400,-2.33,-8.8,0.47,YES,90691.16,85138.64,5552.52,12500,185.35,5.3,-250,YES,750,41.28,264.78,-340.01,439.91,100,YES,77.37
day_rate_14d,T0037,BTC,long,5000,20,250,2025-12-11,2026-01-10,30,92542,90385.54,84400,-2.33,-8.8,0.47,YES,90691.16,85138.64,5552.52,20000,373.33,5.33,-250,YES,1200,66.05,533.33,-583.79,439.91,100,YES,156.7
single_premium_7d,T0038,BTC,short,1000,5,200,2023-12-12,2023-12-13,1,41477.39,42885.54,43475,-3.39,-4.82,0.53,YES,42306.94,44795.58,2488.64,2500,39.33,5.62,-33.95,NO,70.4,34.87,8.85,-7.92,48.16,24.08,NO,1.49
day_rate_14d,T0038,BTC,short,1000,5,200,2023-12-12,2023-12-13,1,41477.39,42885.54,43475,-3.39,-4.82,0.53,YES,42306.94,44795.58,2488.64,4000,74.24,5.3,-33.95,NO,112.65,55.8,7.58,14.27,48.16,24.08,NO,-1.17
single_premium_7d,T0039,BTC,long,5000,20,250,2025-09-19,2025-09-26,7,115690.55,109697.29,108623.7,-5.18,-6.11,0.29,YES,113376.74,106435.31,6941.43,12500,107.22,3.06,-250,YES,513.55,397.55,153.17,-14.63,305.42,100,YES,26.07
day_rate_14d,T0039,BTC,long,5000,20,250,2025-09-19,2025-09-26,7,115690.55,109697.29,108623.7,-5.18,-6.11,0.29,YES,113376.74,106435.31,6941.43,20000,255.01,3.64,-250,YES,821.68,636.08,182.15,194.91,305.42,100,YES,22.84
single_premium_7d,T0040,BTC,short,5000,10,500,2024-12-07,2024-12-10,3,99929.32,96660.76,101435.05,3.27,-1.51,0.55,YES,101927.91,107923.67,5995.76,12500,199.84,5.71,163.54,NO,0,0,130.51,33.04,0,0,NO,39.15
day_rate_14d,T0040,BTC,short,5000,10,500,2024-12-07,2024-12-10,3,99929.32,96660.76,101435.05,3.27,-1.51,0.55,YES,101927.91,107923.67,5995.76,20000,374.86,5.36,163.54,NO,0,0,114.75,48.79,0,0,NO,19.7
single_premium_7d,T0041,BTC,long,2500,3,833.3333333333334,2024-06-22,2024-06-25,3,64235.01,61789.71,58414.28,-3.81,-9.06,0.25,YES,62950.31,59096.21,3854.1,6250,42,2.4,-95.17,NO,375,112.93,0,17.76,226.54,27.18,NO,-23.64
day_rate_14d,T0041,BTC,long,2500,3,833.3333333333334,2024-06-22,2024-06-25,3,64235.01,61789.71,58414.28,-3.81,-9.06,0.25,YES,62950.31,59096.21,3854.1,10000,107.28,3.07,-95.17,NO,600,180.68,32.84,52.67,226.54,27.18,NO,0.82
single_premium_7d,T0042,BTC,long,5000,10,500,2023-11-04,2023-11-05,1,35087.01,35035.42,34500,-0.15,-1.67,0.55,YES,34385.27,32280.05,2105.22,12500,209.48,5.99,-7.35,NO,0,0,55.58,-62.93,0,0,NO,16.67
day_rate_14d,T0042,BTC,long,5000,10,500,2023-11-04,2023-11-05,1,35087.01,35035.42,34500,-0.15,-1.67,0.55,YES,34385.27,32280.05,2105.22,20000,406.86,5.81,-7.35,NO,0,0,41.52,-48.87,0,0,NO,-6.44
single_premium_7d,T0043,BTC,short,500,20,25,2025-01-14,2025-01-17,3,96534.96,104107,105970,-7.84,-9.77,0.45,YES,98465.66,104257.76,5792.1,1250,17.51,5,-25,YES,75,73.05,0,33.83,48.87,100,YES,-11.15
day_rate_14d,T0043,BTC,short,500,20,25,2025-01-14,2025-01-17,3,96534.96,104107,105970,-7.84,-9.77,0.45,YES,98465.66,104257.76,5792.1,2000,34.59,4.94,-25,YES,120,116.88,10.59,67.07,48.87,100,YES,-2.67
single_premium_7d,T0044,BTC,short,500,5,100,2025-07-09,2025-07-10,1,111282.85,116031.3,116842,-4.27,-5,0.28,YES,113508.51,120185.48,6676.97,1250,10.86,3.1,-21.34,NO,37.44,28.34,0,7,24.98,24.98,NO,-2.97
day_rate_14d,T0044,BTC,short,500,5,100,2025-07-09,2025-07-10,1,111282.85,116031.3,116842,-4.27,-5,0.28,YES,113508.51,120185.48,6676.97,2000,25.6,3.66,-21.34,NO,59.91,45.34,2.61,21.39,24.98,24.98,NO,-1.48
single_premium_7d,T0045,BTC,long,100000,20,5000,2025-09-29,2025-10-02,3,114365.07,120621.32,111582.65,5.47,-2.43,0.25,YES,112077.77,105215.86,6861.9,250000,1654.01,2.36,5470.42,NO,1082.32,0,1080.17,4390.25,1082.32,21.65,NO,324.05
day_rate_14d,T0045,BTC,long,100000,20,5000,2025-09-29,2025-10-02,3,114365.07,120621.32,111582.65,5.47,-2.43,0.25,YES,112077.77,105215.86,6861.9,400000,4243.86,3.03,5470.42,NO,1731.71,0,1299.14,4171.28,1731.71,34.63,NO,223.02
single_premium_7d,T0046,BTC,short,5000,5,1000,2024-01-24,2024-01-25,1,40077.78,39941.66,40527.26,0.34,-1.12,0.55,YES,40879.34,43284,2404.67,12500,199.65,5.7,16.98,NO,0,0,52.97,-35.99,0,0,NO,15.89
day_rate_14d,T0046,BTC,short,5000,5,1000,2024-01-24,2024-01-25,1,40077.78,39941.66,40527.26,0.34,-1.12,0.55,YES,40879.34,43284,2404.67,20000,374.65,5.35,16.98,NO,0,0,38.23,-21.25,0,0,NO,-5.93
single_premium_7d,T0047,BTC,long,10000,10,1000,2026-03-06,2026-03-09,3,68108.24,68432.17,65618.51,0.48,-3.66,0.84,YES,66746.08,62659.58,4086.49,25000,536.62,7.67,47.56,NO,413.89,0,350.45,-302.89,365.55,36.56,NO,105.13
day_rate_14d,T0047,BTC,long,10000,10,1000,2026-03-06,2026-03-09,3,68108.24,68432.17,65618.51,0.48,-3.66,0.84,YES,66746.08,62659.58,4086.49,40000,974.14,6.96,47.56,NO,662.22,0,298.21,-250.65,365.55,36.56,NO,51.19
single_premium_7d,T0048,BTC,long,2500,5,500,2025-02-13,2025-02-20,7,96625.29,98347.2,93333,1.78,-3.41,0.41,YES,94692.78,88895.27,5797.52,6250,81.37,4.65,44.55,NO,87.95,0,116.25,-71.7,85.18,17.04,NO,34.87
day_rate_14d,T0048,BTC,long,2500,5,500,2025-02-13,2025-02-20,7,96625.29,98347.2,93333,1.78,-3.41,0.41,YES,94692.78,88895.27,5797.52,10000,170.51,4.87,44.55,NO,140.73,0,121.79,-77.24,85.18,17.04,NO,32.28
single_premium_7d,T0049,BTC,short,100000,5,20000,2025-11-24,2025-11-27,3,88266.2,91316.7,91925.4,-3.46,-4.15,0.44,YES,90031.52,95327.5,5295.97,250000,3468.94,4.96,-3456.02,NO,5364.1,3640.06,15.54,168.49,4145.64,20.73,NO,-1653.15
day_rate_14d,T0049,BTC,short,100000,5,20000,2025-11-24,2025-11-27,3,88266.2,91316.7,91925.4,-3.46,-4.15,0.44,YES,90031.52,95327.5,5295.97,400000,6878.03,4.91,-3456.02,NO,8582.57,5824.09,2105.52,262.55,4145.64,20.73,NO,340.45
single_premium_7d,T0050,ETH,short,5000,20,250,2025-01-07,2025-01-08,1,3380.29,3326.29,3702.24,1.6,-9.52,0.68,YES,3447.9,3650.71,202.82,12500,223.19,6.38,-250,YES,750,0,59.21,20.66,476.22,100,YES,17.76
day_rate_14d,T0050,ETH,short,5000,20,250,2025-01-07,2025-01-08,1,3380.29,3326.29,3702.24,1.6,-9.52,0.68,YES,3447.9,3650.71,202.82,20000,400.01,5.71,-250,YES,1200,0,40.82,39.06,476.22,100,YES,-6.33
