tierId,tradeId,asset,side,notionalUsd,leverage,marginUsd,entryDate,exitDate,holdDays,spotAtEntry,spotAtExit,worstAdverseSpot,perpReturnPct,perpMaxAdverseReturnPct,rvolEntry,hedgeable,K_long,K_short,spreadWidth,protectedNotionalUsd,hedgeCostUsd,feePctOfNotional,perpPnlUsd,perpLiquidatedUnhedged,hedgePayoutAtMaxDrawdownUsd,hedgePayoutAtExitUsd,totalUserFeeUsd,netUserPnlUsd,drawdownReductionUsd,drawdownReductionPctOfMargin,liquidationPrevented,atticusNetMargin
single_premium_7d,T0010,ETH,long,10000,10,1000,2024-02-29,2024-03-30,30,3341.78,3507.51,3057.5,4.96,-8.51,0.41,YES,3274.94,3074.44,200.51,25000,322.02,4.6,495.93,NO,1500,0,460.03,35.9,850.68,85.07,NO,138.01
day_rate_14d,T0010,ETH,long,10000,10,1000,2024-02-29,2024-03-30,30,3341.78,3507.51,3057.5,4.96,-8.51,0.41,YES,3274.94,3074.44,200.51,40000,676.98,4.84,495.93,NO,2400,0,967.11,-471.17,850.68,85.07,NO,290.13
single_premium_7d,T0011,BTC,long,1000,10,100,2025-12-28,2026-01-04,7,87877.29,91494,86675,4.12,-1.37,0.38,YES,86119.74,80847.11,5272.64,2500,29.65,4.24,41.16,NO,0,0,42.35,-1.2,0,0,NO,12.71
day_rate_14d,T0011,BTC,long,1000,10,100,2025-12-28,2026-01-04,7,87877.29,91494,86675,4.12,-1.37,0.38,YES,86119.74,80847.11,5272.64,4000,63.92,4.57,41.16,NO,0,0,45.66,-4.5,0,0,NO,12.1
single_premium_7d,T0012,BTC,short,10000,5,2000,2024-04-06,2024-04-13,7,68919.89,64024.77,72777,7.1,-5.6,0.71,YES,70298.29,74433.48,4135.19,25000,454.91,6.5,710.26,NO,899.13,0,649.86,60.4,559.65,27.98,NO,194.96
day_rate_14d,T0012,BTC,short,10000,5,2000,2024-04-06,2024-04-13,7,68919.89,64024.77,72777,7.1,-5.6,0.71,YES,70298.29,74433.48,4135.19,40000,808.67,5.78,710.26,NO,1438.6,0,577.62,132.64,559.65,27.98,NO,153.07
single_premium_7d,T0013,BTC,short,500,50,10,2026-01-12,2026-01-15,3,91188.09,95587.65,97963.62,-4.82,-7.43,0.26,YES,93011.85,98483.14,5471.29,1250,9.5,2.71,-10,YES,67.88,35.31,0,11.19,37.15,100,YES,-5.84
day_rate_14d,T0013,BTC,short,500,50,10,2026-01-12,2026-01-15,3,91188.09,95587.65,97963.62,-4.82,-7.43,0.26,YES,93011.85,98483.14,5471.29,2000,23.47,3.35,-10,YES,108.61,56.49,7.18,25.19,37.15,100,YES,-0.67
single_premium_7d,T0014,BTC,long,1000,10,100,2025-08-01,2025-08-04,3,113248.73,115051.85,111903.68,1.59,-1.19,0.26,YES,110983.76,104188.83,6794.92,2500,17.84,2.55,15.92,NO,0,0,11.65,4.27,0,0,NO,3.5
day_rate_14d,T0014,BTC,long,1000,10,100,2025-08-01,2025-08-04,3,113248.73,115051.85,111903.68,1.59,-1.19,0.26,YES,110983.76,104188.83,6794.92,4000,44.8,3.2,15.92,NO,0,0,13.71,2.21,0,0,NO,2.35
single_premium_7d,T0015,BTC,long,10000,10,1000,2025-12-20,2026-01-19,30,88324,92559.66,86350,4.8,-2.23,0.41,YES,86557.52,81258.08,5299.44,25000,329,4.7,479.56,NO,58.74,0,470.01,9.55,58.74,5.87,NO,141
day_rate_14d,T0015,BTC,long,10000,10,1000,2025-12-20,2026-01-19,30,88324,92559.66,86350,4.8,-2.23,0.41,YES,86557.52,81258.08,5299.44,40000,687.14,4.91,479.56,NO,93.98,0,981.63,-502.07,93.98,9.4,NO,294.49
single_premium_7d,T0016,BTC,long,1000,3,333.3333333333333,2024-08-01,2024-08-08,7,65288.18,61705.58,49050.01,-5.49,-24.87,0.47,YES,63982.42,60065.13,3917.29,2500,37.14,5.31,-54.87,NO,150,87.18,53.05,-20.74,150,45,NO,11.56
day_rate_14d,T0016,BTC,long,1000,3,333.3333333333333,2024-08-01,2024-08-08,7,65288.18,61705.58,49050.01,-5.49,-24.87,0.47,YES,63982.42,60065.13,3917.29,4000,74.76,5.34,-54.87,NO,240,139.49,53.4,31.22,240,72,NO,9.05
single_premium_7d,T0017,ETH,short,500,10,50,2024-02-22,2024-03-07,14,2969.77,3875.28,3941.57,-30.49,-32.72,0.37,YES,3029.17,3207.35,178.19,1250,14.74,4.21,-50,YES,75,75,21.05,3.95,75,100,NO,2.57
day_rate_14d,T0017,ETH,short,500,10,50,2024-02-22,2024-03-07,14,2969.77,3875.28,3941.57,-30.49,-32.72,0.37,YES,3029.17,3207.35,178.19,2000,31.08,4.44,-50,YES,120,120,44.4,-76.85,120,100,YES,7.32
single_premium_7d,T0018,ETH,long,5000,10,500,2024-10-28,2024-10-29,1,2565.66,2637.85,2468.81,2.81,-3.77,0.49,YES,2514.35,2360.41,153.94,12500,190.57,5.44,140.69,NO,221.86,0,50.56,90.12,188.74,37.75,NO,15.17
day_rate_14d,T0018,ETH,long,5000,10,500,2024-10-28,2024-10-29,1,2565.66,2637.85,2468.81,2.81,-3.77,0.49,YES,2514.35,2360.41,153.94,20000,380.66,5.44,140.69,NO,354.97,0,38.84,101.84,188.74,37.75,NO,-6.02
single_premium_7d,T0019,BTC,short,1000,5,200,2025-12-17,2025-12-24,7,86209.77,87609.03,90541.8,-1.62,-5.02,0.45,YES,87933.97,93106.55,5172.59,2500,34.87,4.98,-16.23,NO,75.62,0,49.82,-66.05,50.25,25.12,NO,14.95
day_rate_14d,T0019,BTC,short,1000,5,200,2025-12-17,2025-12-24,7,86209.77,87609.03,90541.8,-1.62,-5.02,0.45,YES,87933.97,93106.55,5172.59,4000,69,4.93,-16.23,NO,121,0,49.29,-65.52,50.25,25.12,NO,13.06
single_premium_7d,T0020,BTC,short,1000,3,333.3333333333333,2024-09-20,2024-10-04,14,63210.69,62090.71,66550,1.77,-5.28,0.49,YES,64474.9,68267.55,3792.64,2500,37.27,5.32,17.72,NO,82.07,0,53.25,-35.53,52.83,15.85,NO,15.97
day_rate_14d,T0020,BTC,short,1000,3,333.3333333333333,2024-09-20,2024-10-04,14,63210.69,62090.71,66550,1.77,-5.28,0.49,YES,64474.9,68267.55,3792.64,4000,71.87,5.13,17.72,NO,131.31,0,102.68,-84.96,52.83,15.85,NO,30.8
single_premium_7d,T0021,BTC,short,2500,20,125,2024-05-02,2024-05-16,14,59071.89,65252.18,66772.83,-10.46,-13.04,0.51,YES,60253.33,63797.64,3544.31,6250,95.3,5.45,-125,YES,375,375,136.15,-22.71,325.91,100,YES,22.09
day_rate_14d,T0021,BTC,short,2500,20,125,2024-05-02,2024-05-16,14,59071.89,65252.18,66772.83,-10.46,-13.04,0.51,YES,60253.33,63797.64,3544.31,10000,182.16,5.2,-125,YES,600,600,260.23,78.21,325.91,100,YES,48.07
single_premium_7d,T0022,BTC,long,500,3,166.66666666666666,2025-07-14,2025-07-21,7,119863.71,117428.79,115697.37,-2.03,-3.48,0.29,YES,117466.44,110274.61,7191.82,1250,10.92,3.12,-10.16,NO,18.45,0.39,15.59,-25.36,17.38,10.43,NO,4.66
day_rate_14d,T0022,BTC,long,500,3,166.66666666666666,2025-07-14,2025-07-21,7,119863.71,117428.79,115697.37,-2.03,-3.48,0.29,YES,117466.44,110274.61,7191.82,2000,25.82,3.69,-10.16,NO,29.52,0.63,18.45,-27.97,17.38,10.43,NO,4.89
single_premium_7d,T0023,BTC,long,1000,3,333.3333333333333,2026-03-21,2026-03-22,1,68912.02,67844.94,67332.05,-1.55,-2.29,0.52,YES,67533.78,63399.06,4134.72,2500,40.16,5.74,-15.48,NO,7.32,0,10.66,-26.14,7.32,2.2,NO,3.2
day_rate_14d,T0023,BTC,long,1000,3,333.3333333333333,2026-03-21,2026-03-22,1,68912.02,67844.94,67332.05,-1.55,-2.29,0.52,YES,67533.78,63399.06,4134.72,4000,78.98,5.64,-15.48,NO,11.71,0,8.06,-23.54,11.71,3.51,NO,-1.25
single_premium_7d,T0024,BTC,short,500,5,100,2024-07-14,2024-07-17,3,60808.42,64085.81,66139,-5.39,-8.77,0.42,YES,62024.59,65673.09,3648.51,1250,16.57,4.73,-26.95,NO,75,42.37,0,15.42,43.83,43.83,NO,-9.22
day_rate_14d,T0024,BTC,short,500,5,100,2024-07-14,2024-07-17,3,60808.42,64085.81,66139,-5.39,-8.77,0.42,YES,62024.59,65673.09,3648.51,2000,33.43,4.78,-26.95,NO,120,67.79,10.23,30.61,43.83,43.83,NO,-0.32
single_premium_7d,T0025,BTC,long,1000,10,100,2024-08-21,2024-08-24,3,61163.28,64179.63,58793.89,4.93,-3.87,0.65,YES,59940.01,56270.22,3669.8,2500,47.05,6.72,49.32,NO,46.85,0,30.72,18.59,38.74,38.74,NO,9.22
day_rate_14d,T0025,BTC,long,1000,10,100,2024-08-21,2024-08-24,3,61163.28,64179.63,58793.89,4.93,-3.87,0.65,YES,59940.01,56270.22,3669.8,4000,88.4,6.31,49.32,NO,74.96,0,27.06,22.25,38.74,38.74,NO,4.65
single_premium_7d,T0026,ETH,long,2500,10,250,2025-03-31,2025-04-03,3,1822.03,1816.36,1750,-0.31,-3.95,0.96,YES,1785.59,1676.27,109.32,6250,142.62,8.15,-7.78,NO,122.08,0,93.14,-100.92,98.83,39.53,NO,27.94
day_rate_14d,T0026,ETH,long,2500,10,250,2025-03-31,2025-04-03,3,1822.03,1816.36,1750,-0.31,-3.95,0.96,YES,1785.59,1676.27,109.32,10000,255.24,7.29,-7.78,NO,195.33,0,78.13,-85.91,98.83,39.53,NO,13.41
single_premium_7d,T0027,BTC,long,1000,5,200,2024-05-12,2024-05-19,7,61453.02,66261.62,60576.05,7.82,-1.43,0.52,YES,60223.96,56536.78,3687.18,2500,40.11,5.73,78.25,NO,0,0,57.3,20.95,0,0,NO,17.19
day_rate_14d,T0027,BTC,long,1000,5,200,2024-05-12,2024-05-19,7,61453.02,66261.62,60576.05,7.82,-1.43,0.52,YES,60223.96,56536.78,3687.18,4000,78.91,5.64,78.25,NO,0,0,56.36,21.88,0,0,NO,14.94
single_premium_7d,T0028,BTC,short,1000,3,333.3333333333333,2023-12-08,2023-12-11,3,44192.87,41229.61,44754.99,6.71,-1.27,0.49,YES,45076.73,47728.3,2651.57,2500,37.08,5.3,67.05,NO,0,0,24.21,42.84,0,0,NO,7.26
day_rate_14d,T0028,BTC,short,1000,3,333.3333333333333,2023-12-08,2023-12-11,3,44192.87,41229.61,44754.99,6.71,-1.27,0.49,YES,45076.73,47728.3,2651.57,4000,71.64,5.12,67.05,NO,0,0,21.93,45.12,0,0,NO,3.76
single_premium_7d,T0029,BTC,long,2500,5,500,2026-01-09,2026-01-16,7,90515.45,95504,89583.58,5.51,-1.03,0.27,YES,88705.14,83274.21,5430.93,6250,47.95,2.74,137.78,NO,0,0,68.5,69.28,0,0,NO,20.55
day_rate_14d,T0029,BTC,long,2500,5,500,2026-01-09,2026-01-16,7,90515.45,95504,89583.58,5.51,-1.03,0.27,YES,88705.14,83274.21,5430.93,10000,117.87,3.37,137.78,NO,0,0,84.19,53.59,0,0,NO,22.31
single_premium_7d,T0030,ETH,long,500,20,25,2025-11-07,2025-11-10,3,3433.71,3566.49,3191.02,3.87,-7.07,0.84,YES,3365.04,3159.01,206.02,1250,26.93,7.69,-25,YES,63.35,0,17.58,1.75,35.34,100,YES,5.28
day_rate_14d,T0030,ETH,long,500,20,25,2025-11-07,2025-11-10,3,3433.71,3566.49,3191.02,3.87,-7.07,0.84,YES,3365.04,3159.01,206.02,2000,48.84,6.98,-25,YES,101.36,0,14.95,4.38,35.34,100,YES,2.57
single_premium_7d,T0031,ETH,long,500,10,50,2024-05-01,2024-05-15,14,2968.12,3033.2,2814.12,2.19,-5.19,0.68,YES,2908.76,2730.67,178.09,1250,23.99,6.86,10.96,NO,39.86,0,34.28,-23.31,25.94,51.88,NO,10.28
day_rate_14d,T0031,ETH,long,500,10,50,2024-05-01,2024-05-15,14,2968.12,3033.2,2814.12,2.19,-5.19,0.68,YES,2908.76,2730.67,178.09,2000,44.84,6.41,10.96,NO,63.77,0,64.06,-53.09,25.94,51.88,NO,19.22
single_premium_7d,T0032,BTC,long,25000,10,2500,2025-11-09,2025-11-23,14,104694.95,86808.28,80524.65,-17.08,-23.09,0.4,YES,102601.05,96319.35,6281.7,62500,792.6,4.53,-2500,YES,3750,3750,1132.29,-1653.43,3750,100,YES,152.19
day_rate_14d,T0032,BTC,long,25000,10,2500,2025-11-09,2025-11-23,14,104694.95,86808.28,80524.65,-17.08,-23.09,0.4,YES,102601.05,96319.35,6281.7,100000,1674.22,4.78,-2500,YES,6000,6000,2391.75,-662.89,5771.6,100,YES,417.52
single_premium_7d,T0033,ETH,long,500,5,100,2025-06-16,2025-06-19,3,2545.27,2521.52,2454,-0.93,-3.59,0.58,YES,2494.36,2341.65,152.72,1250,21.69,6.2,-4.67,NO,19.82,0,14.16,-18.83,17.93,17.93,NO,4.25
day_rate_14d,T0033,ETH,long,500,5,100,2025-06-16,2025-06-19,3,2545.27,2521.52,2454,-0.93,-3.59,0.58,YES,2494.36,2341.65,152.72,2000,41.7,5.96,-4.67,NO,31.72,0,12.77,-17.43,17.93,17.93,NO,2.19
single_premium_7d,T0034,ETH,short,5000,10,500,2025-11-18,2025-12-02,14,3121.74,2996.7,3168.98,4.01,-1.51,0.67,YES,3184.17,3371.48,187.3,12500,221.34,6.32,200.27,NO,0,0,316.19,-115.92,0,0,NO,94.86
day_rate_14d,T0034,ETH,short,5000,10,500,2025-11-18,2025-12-02,14,3121.74,2996.7,3168.98,4.01,-1.51,0.67,YES,3184.17,3371.48,187.3,20000,398.1,5.69,200.27,NO,0,0,568.72,-368.45,0,0,NO,170.62
single_premium_7d,T0035,BTC,long,1000,20,50,2024-09-02,2024-09-09,7,59139.83,57053.9,52530,-3.53,-11.18,0.68,YES,57957.03,54408.64,3548.39,2500,48.11,6.87,-50,YES,150,38.18,68.73,-65.82,111.77,100,YES,18.71
day_rate_14d,T0035,BTC,long,1000,20,50,2024-09-02,2024-09-09,7,59139.83,57053.9,52530,-3.53,-11.18,0.68,YES,57957.03,54408.64,3548.39,4000,89.84,6.42,-50,YES,240,61.08,64.17,-38.36,111.77,100,YES,16.2
single_premium_7d,T0036,ETH,short,1000,20,50,2024-09-16,2024-09-17,1,2295.21,2342.1,2394,-2.04,-4.3,0.59,YES,2341.11,2478.83,137.71,2500,41.83,5.98,-20.43,NO,57.6,1.07,11.1,-30.45,43.04,86.08,NO,3.33
day_rate_14d,T0036,ETH,short,1000,20,50,2024-09-16,2024-09-17,1,2295.21,2342.1,2394,-2.04,-4.3,0.59,YES,2341.11,2478.83,137.71,4000,77.03,5.5,-20.43,NO,92.17,1.72,7.86,-26.57,43.04,86.08,NO,-1.22
single_premium_7d,T0037,BTC,long,2500,20,125,2025-12-11,2026-01-10,30,92542,90385.54,84400,-2.33,-8.8,0.47,YES,90691.16,85138.64,5552.52,6250,92.67,5.3,-125,YES,375,20.64,132.39,-170.01,219.95,100,YES,38.69
day_rate_14d,T0037,BTC,long,2500,20,125,2025-12-11,2026-01-10,30,92542,90385.54,84400,-2.33,-8.8,0.47,YES,90691.16,85138.64,5552.52,10000,186.67,5.33,-125,YES,600,33.03,266.67,-291.9,219.95,100,YES,78.35
single_premium_7d,T0038,BTC,short,500,5,100,2023-12-12,2023-12-13,1,41477.39,42885.54,43475,-3.39,-4.82,0.53,YES,42306.94,44795.58,2488.64,1250,19.66,5.62,-16.97,NO,35.2,17.44,4.42,-3.96,24.08,24.08,NO,0.74
day_rate_14d,T0038,BTC,short,500,5,100,2023-12-12,2023-12-13,1,41477.39,42885.54,43475,-3.39,-4.82,0.53,YES,42306.94,44795.58,2488.64,2000,37.12,5.3,-16.97,NO,56.32,27.9,3.79,7.14,24.08,24.08,NO,-0.59
single_premium_7d,T0039,BTC,long,2500,20,125,2025-09-19,2025-09-26,7,115690.55,109697.29,108623.7,-5.18,-6.11,0.29,YES,113376.74,106435.31,6941.43,6250,53.61,3.06,-125,YES,256.78,198.78,76.58,-7.32,152.71,100,YES,13.04
day_rate_14d,T0039,BTC,long,2500,20,125,2025-09-19,2025-09-26,7,115690.55,109697.29,108623.7,-5.18,-6.11,0.29,YES,113376.74,106435.31,6941.43,10000,127.51,3.64,-125,YES,410.84,318.04,91.08,97.46,152.71,100,YES,11.42
single_premium_7d,T0040,BTC,short,2500,10,250,2024-12-07,2024-12-10,3,99929.32,96660.76,101435.05,3.27,-1.51,0.55,YES,101927.91,107923.67,5995.76,6250,99.92,5.71,81.77,NO,0,0,65.25,16.52,0,0,NO,19.58
day_rate_14d,T0040,BTC,short,2500,10,250,2024-12-07,2024-12-10,3,99929.32,96660.76,101435.05,3.27,-1.51,0.55,YES,101927.91,107923.67,5995.76,10000,187.43,5.36,81.77,NO,0,0,57.38,24.4,0,0,NO,9.85
single_premium_7d,T0041,BTC,long,1000,3,333.3333333333333,2024-06-22,2024-06-25,3,64235.01,61789.71,58414.28,-3.81,-9.06,0.25,YES,62950.31,59096.21,3854.1,2500,16.8,2.4,-38.07,NO,150,45.17,0,7.1,90.62,27.18,NO,-9.46
day_rate_14d,T0041,BTC,long,1000,3,333.3333333333333,2024-06-22,2024-06-25,3,64235.01,61789.71,58414.28,-3.81,-9.06,0.25,YES,62950.31,59096.21,3854.1,4000,42.91,3.07,-38.07,NO,240,72.27,13.14,21.07,90.62,27.18,NO,0.33
single_premium_7d,T0042,BTC,long,2500,10,250,2023-11-04,2023-11-05,1,35087.01,35035.42,34500,-0.15,-1.67,0.55,YES,34385.27,32280.05,2105.22,6250,104.74,5.99,-3.68,NO,0,0,27.79,-31.46,0,0,NO,8.34
day_rate_14d,T0042,BTC,long,2500,10,250,2023-11-04,2023-11-05,1,35087.01,35035.42,34500,-0.15,-1.67,0.55,YES,34385.27,32280.05,2105.22,10000,203.43,5.81,-3.68,NO,0,0,20.76,-24.43,0,0,NO,-3.22
single_premium_7d,T0043,BTC,short,500,20,25,2025-01-14,2025-01-17,3,96534.96,104107,105970,-7.84,-9.77,0.45,YES,98465.66,104257.76,5792.1,1250,17.51,5,-25,YES,75,73.05,0,33.83,48.87,100,YES,-11.15
day_rate_14d,T0043,BTC,short,500,20,25,2025-01-14,2025-01-17,3,96534.96,104107,105970,-7.84,-9.77,0.45,YES,98465.66,104257.76,5792.1,2000,34.59,4.94,-25,YES,120,116.88,10.59,67.07,48.87,100,YES,-2.67
single_premium_7d,T0044,BTC,short,500,5,100,2025-07-09,2025-07-10,1,111282.85,116031.3,116842,-4.27,-5,0.28,YES,113508.51,120185.48,6676.97,1250,10.86,3.1,-21.34,NO,37.44,28.34,0,7,24.98,24.98,NO,-2.97
day_rate_14d,T0044,BTC,short,500,5,100,2025-07-09,2025-07-10,1,111282.85,116031.3,116842,-4.27,-5,0.28,YES,113508.51,120185.48,6676.97,2000,25.6,3.66,-21.34,NO,59.91,45.34,2.61,21.39,24.98,24.98,NO,-1.48
single_premium_7d,T0045,BTC,long,25000,20,1250,2025-09-29,2025-10-06,7,114365.07,124720.09,111582.65,9.05,-2.43,0.25,YES,112077.77,105215.86,6861.9,62500,413.5,2.36,2263.59,NO,270.58,0,590.72,1672.87,270.58,21.65,NO,177.22
day_rate_14d,T0045,BTC,long,25000,20,1250,2025-09-29,2025-10-06,7,114365.07,124720.09,111582.65,9.05,-2.43,0.25,YES,112077.77,105215.86,6861.9,100000,1060.97,3.03,2263.59,NO,432.93,0,757.83,1505.76,432.93,34.63,NO,200.83
single_premium_7d,T0046,BTC,short,2500,5,500,2024-01-24,2024-01-25,1,40077.78,39941.66,40527.26,0.34,-1.12,0.55,YES,40879.34,43284,2404.67,6250,99.83,5.7,8.49,NO,0,0,26.48,-17.99,0,0,NO,7.95
day_rate_14d,T0046,BTC,short,2500,5,500,2024-01-24,2024-01-25,1,40077.78,39941.66,40527.26,0.34,-1.12,0.55,YES,40879.34,43284,2404.67,10000,187.32,5.35,8.49,NO,0,0,19.11,-10.62,0,0,NO,-2.96
single_premium_7d,T0047,BTC,long,5000,10,500,2026-03-06,2026-03-09,3,68108.24,68432.17,65618.51,0.48,-3.66,0.84,YES,66746.08,62659.58,4086.49,12500,268.31,7.67,23.78,NO,206.94,0,175.22,-151.44,182.78,36.56,NO,52.57
day_rate_14d,T0047,BTC,long,5000,10,500,2026-03-06,2026-03-09,3,68108.24,68432.17,65618.51,0.48,-3.66,0.84,YES,66746.08,62659.58,4086.49,20000,487.07,6.96,23.78,NO,331.11,0,149.1,-125.32,182.78,36.56,NO,25.6
single_premium_7d,T0048,BTC,long,1000,5,200,2025-02-13,2025-02-27,14,96625.29,84625.19,82111.12,-12.42,-15.02,0.41,YES,94692.78,88895.27,5797.52,2500,32.55,4.65,-124.19,NO,150,150,46.5,-20.69,150,75,NO,6.45
day_rate_14d,T0048,BTC,long,1000,5,200,2025-02-13,2025-02-27,14,96625.29,84625.19,82111.12,-12.42,-15.02,0.41,YES,94692.78,88895.27,5797.52,4000,68.2,4.87,-124.19,NO,240,240,97.43,18.37,150.21,75.11,NO,17.23
single_premium_7d,T0049,BTC,short,25000,5,5000,2025-11-24,2025-11-27,3,88266.2,91316.7,91925.4,-3.46,-4.15,0.44,YES,90031.52,95327.5,5295.97,62500,867.23,4.96,-864.01,NO,1341.03,910.01,3.89,42.12,1036.41,20.73,NO,-413.29
day_rate_14d,T0049,BTC,short,25000,5,5000,2025-11-24,2025-11-27,3,88266.2,91316.7,91925.4,-3.46,-4.15,0.44,YES,90031.52,95327.5,5295.97,100000,1719.51,4.91,-864.01,NO,2145.64,1456.02,526.38,65.64,1036.41,20.73,NO,85.11
single_premium_7d,T0050,ETH,short,2500,20,125,2025-01-07,2025-01-10,3,3380.29,3266.53,3702.24,3.37,-9.52,0.68,YES,3447.9,3650.71,202.82,6250,111.59,6.38,-125,YES,375,0,72.88,11.26,238.11,100,YES,21.86
day_rate_14d,T0050,ETH,short,2500,20,125,2025-01-07,2025-01-10,3,3380.29,3266.53,3702.24,3.37,-9.52,0.68,YES,3447.9,3650.71,202.82,10000,200.01,5.71,-125,YES,600,0,61.23,22.91,238.11,100,YES,10.51
single_premium_7d,T0051,ETH,long,5000,10,500,2026-02-26,2026-03-01,3,2027.9,1939.68,1835.46,-4.35,-9.49,1.05,YES,1987.34,1865.67,121.67,12500,295.54,8.44,-217.52,NO,750,293.79,23.49,52.78,474.48,94.9,NO,-117.86
